Title,Artist,Album,Runtime
"Shout","Tears for Fears","Songs from the Big Chair","6:33"
"The Working Hour","Tears for Fears","Songs from the Big Chair","6:30"
"Everybody Wants to Rule the World","Tears for Fears","Songs from the Big Chair","4:11"
"Mothers Talk","Tears for Fears","Songs from the Big Chair","5:09"
"I Believe","Tears for Fears","Songs from the Big Chair","4:54"
"Broken","Tears for Fears","Songs from the Big Chair","2:38"
"Head Over Heels","Tears for Fears","Songs from the Big Chair","5:02"
"Listen","Tears for Fears","Songs from the Big Chair","6:54"
"Good Times Bad Times","Led Zeppelin","Led Zeppelin","2:46"
"Babe I'm Gonna Leave You","Led Zeppelin","Led Zeppelin","6:41"
"You Shook Me","Led Zeppelin","Led Zeppelin","6:28"
"Dazed and Confused","Led Zeppelin","Led Zeppelin","6:26"
"Your Time Is Gonna Come","Led Zeppelin","Led Zeppelin","4:34"
"Black Mountain Side","Led Zeppelin","Led Zeppelin","2:13"
"Communication Breakdown","Led Zeppelin","Led Zeppelin","2:30"
"I Can't Quit You Baby","Led Zeppelin","Led Zeppelin","4:42"
"How Many More Times","Led Zeppelin","Led Zeppelin","8:28"
"Rosie","Jackson Browne","Running on Empty","3:37"
"You Love the Thunder","Jackson Browne","Running on Empty","3:52"
"Cocaine","Jackson Browne","Running on Empty","4:55"
"Shaky Town","Jackson Browne","Running on Empty","3:36"
"Love Needs a Heart","Jackson Browne","Running on Empty","3:28"
"Nothing but Time","Jackson Browne","Running on Empty","3:05"
"The Load-Out","Jackson Browne","Running on Empty","5:38"
"Stay","Jackson Browne","Running on Empty","3:24"
"War Pigs","Black Sabbath","Paranoid","7:55"
"Paranoid","Black Sabbath","Paranoid","2:52"
"Planet Caravan","Black Sabbath","Paranoid","4:32"
"Iron Man","Black Sabbath","Paranoid","5:55"
"Electric Funeral","Black Sabbath","Paranoid","4:52"
"Hand of Doom","Black Sabbath","Paranoid","7:08"
"Rat Salad","Black Sabbath","Paranoid","2:30"
"Fairies Wear Boots","Black Sabbath","Paranoid","6:13"
"Hells Bells","AC/DC","Back in Black","5:12"
"Shoot to Thrill","AC/DC","Back in Black","5:17"
"What Do You Do for Money Honey","AC/DC","Back in Black","3:35"
"Givin the Dog a Bone","AC/DC","Back in Black","3:31"
"Let Me Put My Love Into You","AC/DC","Back in Black","4:16"
"Back in Black","AC/DC","Back in Black","4:15"
"You Shook Me All Night Long","AC/DC","Back in Black","3:30"
"Have a Drink on Me","AC/DC","Back in Black","3:57"
"Shake a Leg","AC/DC","Back in Black","4:06"
"Rock and Roll Ain't Noise Pollution","AC/DC","Back in Black","4:15"